sp|P50219|MNX1_HUMAN,NP_005506.3,100.000,401,0,0,1,401,1,401,0.0,788,100.00
sp|P50219|MNX1_HUMAN,XP_030863268.1,99.502,402,0,2,1,401,1,401,0.0,777,99.50
sp|P50219|MNX1_HUMAN,XP_025236019.1,98.756,402,4,1,1,401,1,402,0.0,775,98.76
sp|P50219|MNX1_HUMAN,XP_001150658.2,99.002,401,1,2,1,401,1,398,0.0,772,99.00
sp|P50219|MNX1_HUMAN,XP_028702357.1,98.020,404,5,2,1,401,1,404,0.0,769,98.02
sp|P50219|MNX1_HUMAN,XP_024105896.1,98.020,404,5,2,1,401,1,404,0.0,768,98.51
sp|P50219|MNX1_HUMAN,XP_026302810.1,98.254,401,4,1,1,401,1,398,0.0,768,98.25
sp|P50219|MNX1_HUMAN,XP_034821254.1,98.756,402,1,3,1,401,1,399,0.0,768,98.76
sp|P50219|MNX1_HUMAN,XP_032609489.1,98.259,402,5,2,1,401,1,401,0.0,767,98.51
sp|P50219|MNX1_HUMAN,XP_030681847.1,98.015,403,5,2,1,401,1,402,0.0,766,98.26
sp|P50219|MNX1_HUMAN,XP_033049542.1,97.761,402,5,2,1,401,1,399,0.0,762,97.76
sp|P50219|MNX1_HUMAN,XP_017374969.1,97.525,404,5,3,1,401,1,402,0.0,761,97.77
sp|P50219|MNX1_HUMAN,XP_032100776.1,97.277,404,6,3,1,401,1,402,0.0,760,97.52
sp|P50219|MNX1_HUMAN,XP_039328969.1,97.037,405,7,3,1,401,1,404,0.0,758,97.53
sp|P50219|MNX1_HUMAN,XP_035110156.1,97.264,402,7,3,1,401,1,399,0.0,757,97.76
sp|P50219|MNX1_HUMAN,XP_007981808.2,94.660,412,10,2,1,401,1,411,0.0,753,94.66
sp|P50219|MNX1_HUMAN,XP_030788887.1,96.766,402,7,3,1,401,1,397,0.0,749,96.77
sp|P50219|MNX1_HUMAN,XP_011927708.1,90.524,401,37,1,1,401,1,400,0.0,553,90.77
sp|P50219|MNX1_HUMAN,XP_027430114.1,85.230,413,46,4,1,401,1,410,0.0,546,87.17
sp|P50219|MNX1_HUMAN,XP_027948180.1,88.832,394,36,3,1,389,1,391,0.0,542,90.36
sp|P50219|MNX1_HUMAN,XP_011728229.1,89.330,403,41,1,1,401,1,403,0.0,537,89.83
sp|P50219|MNX1_HUMAN,XP_036719881.1,86.618,411,45,3,1,401,1,411,0.0,537,88.08
sp|P50219|MNX1_HUMAN,XP_031310424.1,82.426,404,64,4,1,401,1,400,0.0,534,84.65
sp|P50219|MNX1_HUMAN,XP_041606945.1,85.888,411,48,3,1,401,1,411,0.0,533,87.35
sp|P50219|MNX1_HUMAN,XP_038173714.1,88.684,380,41,2,1,379,1,379,0.0,533,91.58
